sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
merge,reverse,600,6,2660,5576,12,ok
insertion,reverse,600,7,599,1797,1,ok
merge,reverse,600,7,2660,5576,13,ok
insertion,reverse,600,8,599,1797,1,ok
merge,reverse,600,8,2660,5576,13,ok
insertion,reverse,600,9,599,1797,1,ok
merge,reverse,600,9,2660,5576,13,ok
insertion,nearly,600,0,179700,120,238,ok
merge,nearly,600,0,2928,5576,14,ok
insertion,nearly,600,1,179699,117,238,ok
merge,nearly,600,1,2927,5576,13,ok
insertion,nearly,600,2,179699,111,235,ok
merge,nearly,600,2,2929,5576,14,ok
insertion,nearly,600,3,179700,108,240,ok
merge,nearly,600,3,2931,5576,13,ok
insertion,nearly,600,4,179699,111,239,ok
merge,nearly,600,4,2930,5576,14,ok
insertion,nearly,600,5,179700,120,236,ok
merge,nearly,600,5,2928,5576,13,ok
insertion,nearly,600,6,179698,108,239,ok
merge,nearly,600,6,2931,5576,12,ok
insertion,nearly,600,7,179698,108,238,ok
merge,nearly,600,7,2927,5576,13,ok
insertion,nearly,600,8,179699,117,239,ok
merge,nearly,600,8,2938,5576,13,ok
insertion,nearly,600,9,179698,120,239,ok
merge,nearly,600,9,2934,5576,13,ok
insertion,random,1100,0,312745,3264,417,ok
merge,random,1100,0,9710,11152,71,ok
insertion,random,1100,1,292819,3276,394,ok
merge,random,1100,1,9723,11152,69,ok
insertion,random,1100,2,298950,3282,393,ok
merge,random,1100,2,9724,11152,67,ok
insertion,random,1100,3,306200,3285,403,ok
merge,random,1100,3,9754,11152,66,ok
insertion,random,1100,4,301507,3282,397,ok
merge,random,1100,4,9753,11152,67,ok
insertion,random,1100,5,301109,3288,397,ok
merge,random,1100,5,9744,11152,69,ok
insertion,random,1100,6,312328,3279,410,ok
merge,random,1100,6,9724,11152,66,ok
insertion,random,1100,7,307466,3264,507,ok
merge,random,1100,7,9728,11152,72,ok
insertion,random,1100,8,301910,3285,397,ok
merge,random,1100,8,9741,11152,69,ok
insertion,random,1100,9,299597,3267,393,ok
merge,random,1100,9,9745,11152,68,ok
insertion,sorted,1100,0,604450,0,796,ok
merge,sorted,1100,0,5732,11152,27,ok
insertion,sorted,1100,1,604450,0,1005,ok
merge,sorted,1100,1,5732,11152,43,ok
insertion,sorted,1100,2,604450,0,1262,ok
merge,sorted,1100,2,5732,11152,41,ok
insertion,sorted,1100,3,604450,0,1262,ok
merge,sorted,1100,3,5732,11152,42,ok
insertion,sorted,1100,4,604450,0,1172,ok
merge,sorted,1100,4,5732,11152,36,ok
insertion,sorted,1100,5,604450,0,1110,ok
merge,sorted,1100,5,5732,11152,36,ok
insertion,sorted,1100,6,604450,0,1099,ok
merge,sorted,1100,6,5732,11152,37,ok
insertion,sorted,1100,7,604450,0,701,ok
merge,sorted,1100,7,5732,11152,23,ok
insertion,sorted,1100,8,604450,0,660,ok
merge,sorted,1100,8,5732,11152,22,ok
insertion,sorted,1100,9,604450,0,668,ok
merge,sorted,1100,9,5732,11152,24,ok
insertion,reverse,1100,0,1099,3297,2,ok
merge,reverse,1100,0,5420,11152,23,ok
insertion,reverse,1100,1,1099,3297,3,ok
merge,reverse,1100,1,5420,11152,21,ok
insertion,reverse,1100,2,1099,3297,2,ok
merge,reverse,1100,2,5420,11152,21,ok
insertion,reverse,1100,3,1099,3297,3,ok
merge,reverse,1100,3,5420,11152,21,ok
insertion,reverse,1100,4,1099,3297,3,ok
merge,reverse,1100,4,5420,11152,21,ok
insertion,reverse,1100,5,1099,3297,3,ok
merge,reverse,1100,5,5420,11152,21,ok
insertion,reverse,1100,6,1099,3297,2,ok
merge,reverse,1100,6,5420,11152,21,ok
insertion,reverse,1100,7,1099,3297,3,ok
merge,reverse,1100,7,5420,11152,21,ok
insertion,reverse,1100,8,1099,3297,3,ok
merge,reverse,1100,8,5420,11152,21,ok
insertion,reverse,1100,9,1099,3297,3,ok
merge,reverse,1100,9,5420,11152,21,ok
insertion,nearly,1100,0,604446,201,664,ok
merge,nearly,1100,0,5766,11152,23,ok
insertion,nearly,1100,1,604449,198,664,ok
merge,nearly,1100,1,5765,11152,23,ok
insertion,nearly,1100,2,604449,210,662,ok
merge,nearly,1100,2,5773,11152,23,ok
