sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
insertion,reverse,3600,4,3599,10797,7,ok
merge,reverse,3600,4,20816,42704,81,ok
insertion,reverse,3600,5,3599,10797,9,ok
merge,reverse,3600,5,20816,42704,80,ok
insertion,reverse,3600,6,3599,10797,8,ok
merge,reverse,3600,6,20816,42704,80,ok
insertion,reverse,3600,7,3599,10797,7,ok
merge,reverse,3600,7,20816,42704,79,ok
insertion,reverse,3600,8,3599,10797,7,ok
merge,reverse,3600,8,20816,42704,80,ok
insertion,reverse,3600,9,3599,10797,7,ok
merge,reverse,3600,9,20816,42704,81,ok
insertion,nearly,3600,0,6478188,678,6640,ok
merge,nearly,3600,0,22004,42704,83,ok
insertion,nearly,3600,1,6478194,690,6655,ok
merge,nearly,3600,1,21991,42704,80,ok
insertion,nearly,3600,2,6478192,672,7390,ok
merge,nearly,3600,2,21991,42704,82,ok
insertion,nearly,3600,3,6478191,687,6696,ok
merge,nearly,3600,3,22006,42704,81,ok
insertion,nearly,3600,4,6478191,693,8859,ok
merge,nearly,3600,4,21995,42704,80,ok
insertion,nearly,3600,5,6478188,684,6985,ok
merge,nearly,3600,5,22007,42704,81,ok
insertion,nearly,3600,6,6478189,663,6837,ok
merge,nearly,3600,6,21994,42704,84,ok
insertion,nearly,3600,7,6478189,681,6395,ok
merge,nearly,3600,7,21987,42704,420,ok
insertion,nearly,3600,8,6478192,690,6894,ok
merge,nearly,3600,8,21999,42704,80,ok
insertion,nearly,3600,9,6478195,681,7161,ok
merge,nearly,3600,9,21988,42704,87,ok
insertion,random,4100,0,4204876,12258,4238,ok
merge,random,4100,0,43994,49208,293,ok
insertion,random,4100,1,4309976,12282,4661,ok
merge,random,4100,1,43973,49208,242,ok
insertion,random,4100,2,4253334,12276,4420,ok
merge,random,4100,2,44002,49208,234,ok
insertion,random,4100,3,4228109,12279,7522,ok
merge,random,4100,3,44086,49208,242,ok
insertion,random,4100,4,4193282,12273,4318,ok
merge,random,4100,4,44004,49208,231,ok
insertion,random,4100,5,4213345,12264,4405,ok
merge,random,4100,5,44006,49208,237,ok
insertion,random,4100,6,4180486,12276,4200,ok
merge,random,4100,6,44045,49208,237,ok
insertion,random,4100,7,4198255,12270,6666,ok
merge,random,4100,7,43982,49208,248,ok
insertion,random,4100,8,4152855,12285,6508,ok
merge,random,4100,8,43969,49208,238,ok
insertion,random,4100,9,4190741,12270,16223,ok
merge,random,4100,9,44000,49208,250,ok
insertion,sorted,4100,0,8402950,0,11174,ok
merge,sorted,4100,0,24624,49208,116,ok
insertion,sorted,4100,1,8402950,0,13441,ok
merge,sorted,4100,1,24624,49208,116,ok
insertion,sorted,4100,2,8402950,0,12580,ok
merge,sorted,4100,2,24624,49208,107,ok
insertion,sorted,4100,3,8402950,0,10020,ok
merge,sorted,4100,3,24624,49208,93,ok
insertion,sorted,4100,4,8402950,0,8979,ok
merge,sorted,4100,4,24624,49208,91,ok
insertion,sorted,4100,5,8402950,0,9075,ok
merge,sorted,4100,5,24624,49208,91,ok
insertion,sorted,4100,6,8402950,0,8926,ok
merge,sorted,4100,6,24624,49208,89,ok
insertion,sorted,4100,7,8402950,0,9076,ok
merge,sorted,4100,7,24624,49208,98,ok
insertion,sorted,4100,8,8402950,0,9872,ok
merge,sorted,4100,8,24624,49208,96,ok
insertion,sorted,4100,9,8402950,0,11942,ok
merge,sorted,4100,9,24624,49208,111,ok
insertion,reverse,4100,0,4099,12297,11,ok
merge,reverse,4100,0,24584,49208,96,ok
insertion,reverse,4100,1,4099,12297,9,ok
merge,reverse,4100,1,24584,49208,100,ok
insertion,reverse,4100,2,4099,12297,10,ok
merge,reverse,4100,2,24584,49208,120,ok
insertion,reverse,4100,3,4099,12297,23,ok
merge,reverse,4100,3,24584,49208,96,ok
insertion,reverse,4100,4,4099,12297,12,ok
merge,reverse,4100,4,24584,49208,97,ok
insertion,reverse,4100,5,4099,12297,10,ok
merge,reverse,4100,5,24584,49208,94,ok
insertion,reverse,4100,6,4099,12297,10,ok
merge,reverse,4100,6,24584,49208,109,ok
insertion,reverse,4100,7,4099,12297,11,ok
merge,reverse,4100,7,24584,49208,97,ok
insertion,reverse,4100,8,4099,12297,9,ok
merge,reverse,4100,8,24584,49208,94,ok
insertion,reverse,4100,9,4099,12297,10,ok
merge,reverse,4100,9,24584,49208,94,ok
insertion,nearly,4100,0,8402941,804,9256,ok
merge,nearly,4100,0,24765,49208,100,ok
insertion,nearly,4100,1,8402941,738,9296,ok
merge,nearly,4100,1,24757,49208,96,ok
insertion,nearly,4100,2,8402946,789,9344,ok
merge,nearly,4100,2,24760,49208,95,ok
insertion,nearly,4100,3,8402943,774,8979,ok
merge,nearly,4100,3,24772,49208,94,ok
insertion,nearly,4100,4,8402945,786,8970,ok
merge,nearly,4100,4,24754,49208,91,ok
insertion,nearly,4100,5,8402941,750,8983,ok
merge,nearly,4100,5,24766,49208,92,ok
insertion,nearly,4100,6,8402944,783,8984,ok
merge,nearly,4100,6,24761,49208,95,ok
insertion,nearly,4100,7,8402941,798,8923,ok
merge,nearly,4100,7,24755,49208,91,ok
insertion,nearly,4100,8,8402945,816,9021,ok
merge,nearly,4100,8,24759,49208,94,ok
insertion,nearly,4100,9,8402942,783,9009,ok
merge,nearly,4100,9,24759,49208,92,ok
insertion,random,4600,0,5308360,13773,6732,ok
merge,random,4600,0,50187,56208,268,ok
insertion,random,4600,1,5213896,13770,6636,ok
merge,random,4600,1,50186,56208,267,ok
insertion,random,4600,2,5390574,13776,5616,ok
merge,random,4600,2,50187,56208,263,ok
insertion,random,4600,3,5269925,13770,5454,ok
merge,random,4600,3,50280,56208,264,ok
insertion,random,4600,4,5345630,13758,5582,ok
merge,random,4600,4,50230,56208,262,ok
insertion,random,4600,5,5324391,13782,8272,ok
merge,random,4600,5,50270,56208,263,ok
insertion,random,4600,6,5253027,13773,6406,ok
merge,random,4600,6,50213,56208,283,ok
insertion,random,4600,7,5333761,13788,5566,ok
merge,random,4600,7,50228,56208,263,ok
insertion,random,4600,8,5341331,13776,10360,ok
merge,random,4600,8,50256,56208,265,ok
insertion,random,4600,9,5303321,13782,6779,ok
merge,random,4600,9,50287,56208,263,ok
insertion,sorted,4600,0,10577700,0,12491,ok
merge,sorted,4600,0,28884,56208,105,ok
insertion,sorted,4600,1,10577700,0,11673,ok
merge,sorted,4600,1,28884,56208,105,ok
insertion,sorted,4600,2,10577700,0,11786,ok
merge,sorted,4600,2,28884,56208,107,ok
insertion,sorted,4600,3,10577700,0,11700,ok
merge,sorted,4600,3,28884,56208,191,ok
insertion,sorted,4600,4,10577700,0,11911,ok
merge,sorted,4600,4,28884,56208,108,ok
insertion,sorted,4600,5,10577700,0,11710,ok
merge,sorted,4600,5,28884,56208,104,ok
insertion,sorted,4600,6,10577700,0,11895,ok
merge,sorted,4600,6,28884,56208,104,ok
insertion,sorted,4600,7,10577700,0,11838,ok
merge,sorted,4600,7,28884,56208,103,ok
insertion,sorted,4600,8,10577700,0,11719,ok
merge,sorted,4600,8,28884,56208,107,ok
insertion,sorted,4600,9,10577700,0,11966,ok
merge,sorted,4600,9,28884,56208,106,ok
insertion,reverse,4600,0,4599,13797,11,ok
merge,reverse,4600,0,27324,56208,107,ok
insertion,reverse,4600,1,4599,13797,11,ok
merge,reverse,4600,1,27324,56208,103,ok
insertion,reverse,4600,2,4599,13797,11,ok
merge,reverse,4600,2,27324,56208,105,ok
insertion,reverse,4600,3,4599,13797,10,ok
merge,reverse,4600,3,27324,56208,125,ok
insertion,reverse,4600,4,4599,13797,10,ok
merge,reverse,4600,4,27324,56208,103,ok
insertion,reverse,4600,5,4599,13797,11,ok
merge,reverse,4600,5,27324,56208,113,ok
insertion,reverse,4600,6,4599,13797,11,ok
merge,reverse,4600,6,27324,56208,116,ok
insertion,reverse,4600,7,4599,13797,11,ok
merge,reverse,4600,7,27324,56208,117,ok
insertion,reverse,4600,8,4599,13797,10,ok
merge,reverse,4600,8,27324,56208,102,ok
insertion,reverse,4600,9,4599,13797,10,ok
merge,reverse,4600,9,27324,56208,102,ok
insertion,nearly,4600,0,10577692,864,11967,ok
merge,nearly,4600,0,29025,56208,108,ok
insertion,nearly,4600,1,10577687,867,12039,ok
merge,nearly,4600,1,29018,56208,111,ok
insertion,nearly,4600,2,10577688,852,11790,ok
merge,nearly,4600,2,29003,56208,108,ok
insertion,nearly,4600,3,10577683,867,12092,ok
merge,nearly,4600,3,29025,56208,108,ok
insertion,nearly,4600,4,10577690,912,11860,ok
merge,nearly,4600,4,29020,56208,139,ok
insertion,nearly,4600,5,10577693,885,11746,ok
merge,nearly,4600,5,29019,56208,106,ok
insertion,nearly,4600,6,10577685,855,11950,ok
merge,nearly,4600,6,29017,56208,128,ok
insertion,nearly,4600,7,10577689,855,11743,ok
merge,nearly,4600,7,29020,56208,107,ok
insertion,nearly,4600,8,10577693,891,11939,ok
merge,nearly,4600,8,29031,56208,109,ok
insertion,nearly,4600,9,10577688,870,11851,ok
merge,nearly,4600,9,29012,56208,108,ok
insertion,random,5100,0,6464375,15261,8557,ok
merge,random,5100,0,56471,63208,301,ok
insertion,random,5100,1,6402310,15264,7036,ok
merge,random,5100,1,56469,63208,292,ok
insertion,random,5100,2,6443632,15246,8665,ok
merge,random,5100,2,56541,63208,300,ok
insertion,random,5100,3,6534824,15270,12141,ok
merge,random,5100,3,56544,63208,297,ok
insertion,random,5100,4,6613241,15282,11836,ok
merge,random,5100,4,56535,63208,299,ok
insertion,random,5100,5,6549001,15252,8692,ok
merge,random,5100,5,56477,63208,296,ok
insertion,random,5100,6,6450899,15276,8709,ok
merge,random,5100,6,56469,63208,329,ok
insertion,random,5100,7,6467271,15273,7204,ok
merge,random,5100,7,56479,63208,297,ok
insertion,random,5100,8,6558445,15291,10329,ok
merge,random,5100,8,56395,63208,299,ok
insertion,random,5100,9,6397990,15267,7149,ok
merge,random,5100,9,56453,63208,295,ok
insertion,sorted,5100,0,13002450,0,13605,ok
merge,sorted,5100,0,32668,63208,128,ok
insertion,sorted,5100,1,13002450,0,13856,ok
merge,sorted,5100,1,32668,63208,124,ok
insertion,sorted,5100,2,13002450,0,13484,ok
merge,sorted,5100,2,32668,63208,125,ok
insertion,sorted,5100,3,13002450,0,13591,ok
merge,sorted,5100,3,32668,63208,124,ok
insertion,sorted,5100,4,13002450,0,13525,ok
merge,sorted,5100,4,32668,63208,123,ok
insertion,sorted,5100,5,13002450,0,13457,ok
merge,sorted,5100,5,32668,63208,120,ok
insertion,sorted,5100,6,13002450,0,13605,ok
merge,sorted,5100,6,32668,63208,123,ok
insertion,sorted,5100,7,13002450,0,13527,ok
merge,sorted,5100,7,32668,63208,121,ok
insertion,sorted,5100,8,13002450,0,13640,ok
merge,sorted,5100,8,32668,63208,123,ok
insertion,sorted,5100,9,13002450,0,13501,ok
merge,sorted,5100,9,32668,63208,122,ok
insertion,reverse,5100,0,5099,15297,12,ok
merge,reverse,5100,0,30540,63208,115,ok
insertion,reverse,5100,1,5099,15297,13,ok
merge,reverse,5100,1,30540,63208,116,ok
insertion,reverse,5100,2,5099,15297,12,ok
merge,reverse,5100,2,30540,63208,116,ok
insertion,reverse,5100,3,5099,15297,11,ok
merge,reverse,5100,3,30540,63208,116,ok
insertion,reverse,5100,4,5099,15297,12,ok
merge,reverse,5100,4,30540,63208,114,ok
insertion,reverse,5100,5,5099,15297,11,ok
merge,reverse,5100,5,30540,63208,113,ok
insertion,reverse,5100,6,5099,15297,11,ok
merge,reverse,5100,6,30540,63208,118,ok
insertion,reverse,5100,7,5099,15297,12,ok
merge,reverse,5100,7,30540,63208,116,ok
insertion,reverse,5100,8,5099,15297,12,ok
merge,reverse,5100,8,30540,63208,117,ok
insertion,reverse,5100,9,5099,15297,12,ok
merge,reverse,5100,9,30540,63208,115,ok
insertion,nearly,5100,0,13002440,987,13476,ok
merge,nearly,5100,0,32794,63208,126,ok
insertion,nearly,5100,1,13002441,960,13563,ok
merge,nearly,5100,1,32812,63208,131,ok
insertion,nearly,5100,2,13002437,984,13592,ok
merge,nearly,5100,2,32798,63208,123,ok
insertion,nearly,5100,3,13002437,984,13540,ok
merge,nearly,5100,3,32797,63208,124,ok
insertion,nearly,5100,4,13002437,954,13734,ok
merge,nearly,5100,4,32799,63208,127,ok
insertion,nearly,5100,5,13002444,975,13619,ok
merge,nearly,5100,5,32802,63208,122,ok
insertion,nearly,5100,6,13002439,960,13450,ok
merge,nearly,5100,6,32812,63208,127,ok
insertion,nearly,5100,7,13002439,978,13605,ok
merge,nearly,5100,7,32803,63208,131,ok
insertion,nearly,5100,8,13002439,978,13445,ok
merge,nearly,5100,8,32798,63208,125,ok
insertion,nearly,5100,9,13002438,975,13520,ok
merge,nearly,5100,9,32798,63208,153,ok
insertion,random,5600,0,7871443,16779,9163,ok
merge,random,5600,0,62782,70208,334,ok
insertion,random,5600,1,7840230,16773,9468,ok
merge,random,5600,1,62825,70208,327,ok
insertion,random,5600,2,7745868,16773,12495,ok
merge,random,5600,2,62805,70208,324,ok
insertion,random,5600,3,7715344,16761,9074,ok
merge,random,5600,3,62756,70208,334,ok
insertion,random,5600,4,7737026,16776,9085,ok
merge,random,5600,4,62819,70208,326,ok
insertion,random,5600,5,7778843,16770,7953,ok
merge,random,5600,5,62802,70208,332,ok
insertion,random,5600,6,7787063,16770,9140,ok
merge,random,5600,6,62782,70208,332,ok
insertion,random,5600,7,7848228,16770,7877,ok
merge,random,5600,7,62755,70208,359,ok
insertion,random,5600,8,7854360,16752,9331,ok
merge,random,5600,8,62768,70208,358,ok
insertion,random,5600,9,7919509,16770,9129,ok
merge,random,5600,9,62770,70208,330,ok
insertion,sorted,5600,0,15677200,0,15629,ok
merge,sorted,5600,0,36432,70208,140,ok
insertion,sorted,5600,1,15677200,0,15837,ok
merge,sorted,5600,1,36432,70208,131,ok
insertion,sorted,5600,2,15677200,0,15797,ok
merge,sorted,5600,2,36432,70208,140,ok
insertion,sorted,5600,3,15677200,0,15717,ok
merge,sorted,5600,3,36432,70208,129,ok
insertion,sorted,5600,4,15677200,0,15594,ok
merge,sorted,5600,4,36432,70208,130,ok
insertion,sorted,5600,5,15677200,0,15706,ok
merge,sorted,5600,5,36432,70208,129,ok
insertion,sorted,5600,6,15677200,0,15589,ok
merge,sorted,5600,6,36432,70208,141,ok
insertion,sorted,5600,7,15677200,0,16023,ok
merge,sorted,5600,7,36432,70208,148,ok
insertion,sorted,5600,8,15677200,0,15940,ok
merge,sorted,5600,8,36432,70208,132,ok
insertion,sorted,5600,9,15677200,0,15577,ok
merge,sorted,5600,9,36432,70208,129,ok
insertion,reverse,5600,0,5599,16797,12,ok
merge,reverse,5600,0,33776,70208,124,ok
insertion,reverse,5600,1,5599,16797,14,ok
merge,reverse,5600,1,33776,70208,128,ok
insertion,reverse,5600,2,5599,16797,13,ok
merge,reverse,5600,2,33776,70208,125,ok
insertion,reverse,5600,3,5599,16797,11,ok
merge,reverse,5600,3,33776,70208,121,ok
insertion,reverse,5600,4,5599,16797,13,ok
merge,reverse,5600,4,33776,70208,125,ok
insertion,reverse,5600,5,5599,16797,12,ok
merge,reverse,5600,5,33776,70208,125,ok
insertion,reverse,5600,6,5599,16797,12,ok
merge,reverse,5600,6,33776,70208,120,ok
insertion,reverse,5600,7,5599,16797,13,ok
merge,reverse,5600,7,33776,70208,125,ok
insertion,reverse,5600,8,5599,16797,13,ok
merge,reverse,5600,8,33776,70208,125,ok
insertion,reverse,5600,9,5599,16797,11,ok
merge,reverse,5600,9,33776,70208,121,ok
insertion,nearly,5600,0,15677184,1050,20875,ok
merge,nearly,5600,0,36567,70208,135,ok
insertion,nearly,5600,1,15677187,1035,20693,ok
merge,nearly,5600,1,36548,70208,132,ok
insertion,nearly,5600,2,15677189,1089,20924,ok
merge,nearly,5600,2,36590,70208,130,ok
insertion,nearly,5600,3,15677186,1062,20894,ok
merge,nearly,5600,3,36568,70208,133,ok
insertion,nearly,5600,4,15677189,1083,20673,ok
merge,nearly,5600,4,36559,70208,134,ok
insertion,nearly,5600,5,15677186,1044,20846,ok
merge,nearly,5600,5,36553,70208,137,ok
insertion,nearly,5600,6,15677186,1056,20738,ok
merge,nearly,5600,6,36565,70208,134,ok
insertion,nearly,5600,7,15677183,1077,21086,ok
merge,nearly,5600,7,36555,70208,133,ok
insertion,nearly,5600,8,15677184,1032,20870,ok
merge,nearly,5600,8,36552,70208,132,ok
insertion,nearly,5600,9,15677190,1074,21013,ok
merge,nearly,5600,9,36568,70208,141,ok
